,Hotel_Address,Average_Score,Hotel_Name,Negative_Review,Positive_Review,Reviewer_Score,Tags,lat,lng,Review_Date
170437,39 Buckingham Palace Road Westminster Borough London SW1W 0PS United Kingdom,8.7,Rubens At The Palace, That we couldn t stay longer , The room was very comfortable quiet and spacious The location was fabulous the Royal Mews were directly across the street from the front doorway of the hotel The staff was very warm and welcoming in particular the Director of Bars Silviu The Rubens was simply wonderful ,10.0,"[' Leisure trip ', ' Couple ', ' Executive King Room ', ' Stayed 6 nights ']",51.498147100000004,-0.14364920000000003,2017-03-08
171202,39 Coventry Street Westminster Borough London W1D 6BZ United Kingdom,8.8,every hotel Piccadilly, The hotel overall requires an update furniture is old and seen better days the bathroom was very small and badly stained bath i e soap scum the rooms were very dusty staff were either friendly or not attentive at all depending on shift , The location was the only great aspect of this hotel very central And the size of the rooms were decent ,5.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",51.51014620000001,-0.13150610000000001,2017-07-30
171770,4 18 Harrington Gardens Kensington and Chelsea London SW7 4LH United Kingdom,7.8,Millennium Gloucester Hotel London, Building is very old and not renovated Bathroom was very small and not so clean Housekeepers are not doing good job Some toilettes are missing B F menu should change sometime we are having 7 days same food , Location is excellent Near from underground train station and easy to go any directions Even one train from Airport B F was good selections for UK ,6.3,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room ', ' Stayed 7 nights ']",51.493508299999995,-0.1834346,2017-03-08
174335,4 Boulevard Brune 14th arr 75014 Paris France,8.8,Novotel Suites Paris Expo Porte de Versailles, The location is too far out of Paris major point of interest Although the hotel is close to the Subway Metro the surrounding area is not the safest , Very clean rooms and very modern,8.8,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 5 nights ']",48.827388,2.305478,2017-01-08
174563,4 Boulevard Raspail 7th arr 75007 Paris France,8.4,K K H tel Cayr Saint Germain des Pr s, Hotel wardrobe and bathroom toilet could have been cleaner A little bleach required , Reception staff were excellent Hotel is just opposite the Metro Rue Du Bac A great bar cafe just opposite the hotel for breakfast and other meals as well ,8.3,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 4 nights ']",48.8553117,2.3254627999999995,2017-07-31
174889,4 Broad Court Bow Street Covent Garden Westminster Borough London WC2B 5QZ United Kingdom,8.7,Fielding Hotel, Wi fi couldn t find or connect very well and needed to be on one side of room to use properly But still good not a big issue, Great staff friendly and helpful great room size cleanliness and style etc Very comfortable and quiet Great stay will definitely return Extremely pleased ,10.0,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.5139315,-0.12198930000000001,2017-03-08
175622,4 Bryanston St Marble Arch Westminster Borough London W1H 7BY United Kingdom,8.1,DoubleTree by Hilton Hotel London Marble Arch, Breakfast does not worth the price we paid Bed room was small bathroom was very small Bed room carpet was full of black patches need washing no cable television Last day we had a bit of problem with a blond girl at the b f room According to her we are not entitle to it afterward front desk apologize for the mistake , good room good bed good bathroom Every one was nice ,7.9,"[' Leisure trip ', ' Couple ', ' Standard Queen Room ', ' Stayed 5 nights ']",51.514573,-0.15666,2017-02-08
176047,4 Portal Way Gypsy Corner A40 London W3 6RT United Kingdom,8.1,Holiday Inn London West, arrived at 2p m checked in only to find room hadn t been serviced yet asked receptionist when it will be ready she couldn t give me an answer to how long my wife and i had to sit and wait for half an hour before finally being told room was ready , executive room was excellent very comfortable and clean enjoyed our stay ,8.3,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 1 night ']",51.5210117,-0.2628618,2017-03-08
176748,4 Richmond Mews Westminster Borough London W1D 3DH United Kingdom,9.5,The Soho Hotel, Could have some draft beer in the bar , Modern chic but cosy Staff are terrific Rooms impressive Been on the road for two months and this is the best hotel I ve stayed in ,9.6,"[' Leisure trip ', ' Solo traveler ', ' Superior Room ', ' Stayed 2 nights ']",51.5139805,-0.1337948,2017-02-08
176905,4 rue Amsterdam 9th arr 75009 Paris France,7.5,Le Grand H tel de Normandie, The staff were completely and utterly rude especially on arrival the gentleman was so rude Not a very good start Staff need to learn to smile and have some manners The state of the room lower than average needs a reno Was most disappointed ,No Positive,4.6,"[' Leisure trip ', ' Family with young children ', ' Junior Suite ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8759461,2.3270955,2017-07-31
176935,4 rue Cadet 9th arr 75009 Paris France,8.7,Monsieur Cadet Hotel Spa Ex Meyerhold Spa ,No Negative, Hammam was great The street right outside the hotel has very good restaurants and patios Hotel bar is great as well Room was large for Paris clean and very well maintained Staff is super friendly Really recommend it ,10.0,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room with Free Access to Steam Bath ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",48.8742767,2.3426276,2017-07-23
176997,4 rue d Alger 1st arr 75001 Paris France,9.6,H tel de La Tamise Esprit de France, We were given a complimentary drinks voucher on arrival but the drinks were put on our room tab removed when I commented I requested a taxi but we were put into the hotel s car which charged us 25 for a short trip to the train station In the room there was a coffee machine but no coffee pods 1 black tea bag and no milk The recommendation for dinner was awful , Unbeatable location Wonderful bed and shower The room was small as expected but spotless and well appointed with safe robe slippers a proper hair dryer and lovely toiletries Thoughtful touches such as umbrellas available to borrow for guests We were told the bar was open 24 hours but didn t test this out ,8.8,"[' Leisure trip ', ' Solo traveler ', ' Club Double Room ', ' Stayed 1 night ']",48.8648656,2.3295756,2017-04-07
177058,4 rue d Anjou 8th arr 75008 Paris France,8.8,Buddha Bar Hotel Paris, I could hear music from the courtyard very early in the morning So sound proof windows would be a nice addition It was great music anyway so it really wasn t a hardship , The staff were extremely helpful and friendly Very professional and courteous as well ,10.0,"[' Business trip ', ' Couple ', ' Superior Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8694695,2.3208564,2017-07-27
177175,4 rue d Artois 8th arr 75008 Paris France,8.9,Le A, everything was ok, it s a small hotel but very well located and also charming the whole staff is very courteous the room was super with one of the best beds I have a chance sleep in a hotel this is really a boutique hotel where guests can fell Paris atmosphere,9.6,"[' Leisure trip ', ' Family with young children ', ' Junior Suite Triple ', ' Stayed 3 nights ']",48.8723844,2.3088662999999996,2017-10-07
177266,4 rue Danton 6th arr 75006 Paris France,8.3,Holiday Inn Paris Notre Dame, The lighting in the room was poor needs some down lights put in had to open the curtain during the day to see , The veiw from the 9th floor fantastic Breakfast was very good lots to choose from,10.0,"[' Leisure trip ', ' Couple ', ' Executive King Room ', ' Stayed 4 nights ']",48.852842700000004,2.3422256,2017-01-08
177567,4 Rue de L Isly 8th arr 75008 Paris France,8.1,Mercure Paris Opera Garnier, Room could have been larger but appreciate space is a premium in Paris , Location was superb hotel was simple but we just wanted a place as a base and to sleep so this was perfect Front desk staff were extremely helpful ,8.8,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8749511,2.3259532000000003,2017-07-16
177657,4 rue de la P pini re 8th arr 75008 Paris France,8.8,Maison Albar Hotel Paris Op ra Diamond, Our room was missing a coffee machine or any tea coffee making facilities I had to call reception numerous times until housekeeping finally brought something for us Other than that we really enjoyed our stay at Maison Albar and would definitely recommend , Great location with easy access to saint lazare station and walking distance to cafes and restaurants The hotel itself is very modern and clean The bed was very comfy and considering the hotel is on a busy road it was still very quiet The room was well equipped even with slippers and robes The staff were more than happy to help with directions and recommendations We also made full use of the complimentary sweets at reception ,8.8,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",,,2017-07-28
177947,4 Rue De Valois 1st arr 75001 Paris France,9.2,Grand H tel Du Palais Royal,No Negative, The hotel is close to everything and the staff is amazing they were friendly and very helpful The breakfast is excellent We had cocktails at the bar which I would rate as 5 star We will definately stay at this hotel again and I would recommend it to anybody ,10.0,"[' Leisure trip ', ' Couple ', ' Superior Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.863082899999995,2.3378592,2017-02-08
178153,4 Rue des Petites Ecuries 10th arr 75010 Paris France,7.8,Best Western Aulivia Op ra, A bit noisy in the streets there is a few restaurants and clubs near by and they keep it going in to the early hours of the morning in the weekends Recommend ear plugs , Quite spacious for Paris excellent location if you arrive by train close to Gare de Nord and Gare L Est Double room for family was actually two connected rooms with two bathrooms VERY friendly receptionist from Manchester let us keep the luggage in the hotel after check out Hotel felt safe ,9.2,"[' Leisure trip ', ' Family with young children ', ' 2 Connecting Double Rooms ', ' Stayed 3 nights ']",48.8730552,2.3540112,2017-01-08
